timestamp,symbol,side,entry_price,sl,tp1,tp2,tp3,atr,trend_strength,volatility,exit_price,exit_reason,pnl_pct
2025-07-02T09:52:40.407773,ETHUSDT,SHORT,2450.69,2456.816725000001,2445.7886200000003,2443.3379299999992,2439.661894999999,0.78714,0,0,2439.661894999999,TP3,0.0045
2025-07-02T09:53:10.957934,SOLUSDT,SHORT,148.75,149.12187500000002,148.4525,148.30375,148.08062499999997,0.08143,0,0,149.12187500000002,SL,-0.0025
2025-07-02T09:54:13.422199,ETHUSDT,SHORT,2449.8,2455.924500000001,2444.9004,2442.4506,2438.775899999999,0.66071,0,0,2438.775899999999,TP3,0.0045
2025-07-02T09:55:45.577810,SOLUSDT,SHORT,148.63,149.001575,148.33274,148.18411,147.961165,0.07714,0,0,149.001575,SL,-0.0025
2025-07-02T09:55:46.414971,ETHUSDT,SHORT,2448.92,2455.042299999999,2444.02216,2441.57324,2437.899860000001,0.75429,0,0,2437.899860000001,TP3,0.0045
2025-07-02T09:57:19.097400,ETHUSDT,SHORT,2447.02,2453.13755,2442.12596,2439.67894,2436.0084100000013,0.78286,0,0,2436.0084100000013,TP3,0.0045
2025-07-02T09:57:49.656923,SOLUSDT,SHORT,148.63,149.00157499999995,148.33274,148.18411000000006,147.96116500000005,0.08071,0,0,149.00157499999995,SL,-0.0025
2025-07-02T09:59:22.884044,ETHUSDT,LONG,2447.84,2441.7204,2452.7356800000002,2455.18352,2458.8552800000016,0.80571,0,0,2441.7204,SL,-0.0025
2025-07-02T10:00:56.450670,ETHUSDT,LONG,2448.61,2442.488475,2453.50722,2455.9558300000003,2459.6287449999986,0.84714,0,0,2442.488475,SL,-0.0025
2025-07-02T10:01:57.786178,SOLUSDT,LONG,148.74,148.36814999999999,149.03748000000002,149.18622,149.40932999999995,0.07071,0,0,149.40932999999995,TP3,0.0045
2025-07-02T10:03:31.005807,ETHUSDT,SHORT,2446.35,2452.4658750000003,2441.4573,2439.01095,2435.341424999999,0.98357,0,0,2435.341424999999,TP3,0.0045
2025-07-02T10:04:06.567885,SOLUSDT,SHORT,148.65,149.021625,148.3527,148.20405000000002,147.98107500000003,0.075,0,0,149.021625,SL,-0.0025
